company_name,company_number,address_line_1,address_line_2,post_code,locality,country
BULLDOG VENTURES LTD,15589959,49 Surrey Place,,NE4 6JD,Newcastle Upon Tyne,United Kingdom
BULLDOG VINTAGE LTD,11266336,3 Clive Road,,EN1 1RB,Enfield,United Kingdom
BULLDOG XTREME LIMITED,NI645522,736b Saintfield Road,Carryduff,BT8 8AT,Belfast,United Kingdom
BULLDOG-SPORTS LTD,SC449962,Q Court,3 Quality Street,EH4 5BP,Edinburgh,United Kingdom
BULLDOGELEC TRADING LIMITED,14887131,31 Torrington Place,,LN4 1LG,Branston,United Kingdom
BULLE & BAER LTD,07245964,The 606 Centre,5a Cuthbert Street,W2 1XT,London,United Kingdom
BULLE TRANSPORT COMPANY LTD,12726585,23 Westman Drive,,M13 9ES,Manchester,United Kingdom
BULLEAR RESIDENTS ASSOCIATION LIMITED,02731165,Suite 7 Phoenix House,"Redhill Aerodrome, Kings Mill Lane",RH1 5JY,Redhill,United Kingdom
BULLEE SECURE TRANSPORT LTD,13914128,8 Twisleton Court,Priory Hill,DA1 2EN,Dartford,United Kingdom
BULLEFX LTD,15804108,15804108 - COMPANIES HOUSE DEFAULT ADDRESS,,CF14 8LH,Cardiff,United Kingdom
BULLEGY LIMITED,14828239,"152-160 Kemp House, City Road",,EC1V 2NX,London,United Kingdom
