company_name,company_number,address_line_1,address_line_2,post_code,locality,country
BULLEH SHAH AIRCONDITIONING LTD,05477701,131 Gordon Road,Ilford,IG1 2XT,Essex,United Kingdom
BULLEID SHOP LIMITED,15342893,Sheffield Park Station,Sheffield Park,TN22 3QL,Uckfield,United Kingdom
BULLEIGH BARTON COURT MANAGEMENT COMPANY LIMITED,02614263,19 The Terrace,,TQ1 1BN,Torquay,United Kingdom
BULLEIGH FABRICATIONS LIMITED,11520707,Unit 21 Bulleigh Barton Farm,Ipplepen,TQ12 5UA,Newton Abbot,United Kingdom
BULLEN & CO ACCOUNTANTS LIMITED,08045902,16 Bedford Avenue,Frimley Green,GU16 6HP,Camberley,United Kingdom
BULLEN & CO LIMITED,07256790,1st Floor 143 Connaught Avenue,143 Connaught Avenue,CO13 9AB,Frinton On Sea,United Kingdom
BULLEN & SON LIMITED,13581080,92 Ravenscroft,Holmes Chapel,CW4 7HJ,Crewe,United Kingdom
BULLEN 1921 LIMITED,09911779,The Lowlands,Drayton,NR8 6HA,Norwich,United Kingdom
BULLEN ARCHITECTURAL LIMITED,11417744,Ourplace Church Lane,Stanfield,NR20 4AP,Dereham,United Kingdom
BULLEN BROTHERS LIMITED,09527438,Lancaster House,87 Yarmouth Road,NR7 0HF,Norwich,United Kingdom
BULLEN CONSERVATION (WALES) LTD,14380601,Seintwar,Llanfaes,LL58 8LR,Beaumaris,United Kingdom
BULLEN CONSERVATION LIMITED,04938870,Fourth Floor,Unit 5b The Parklands,BL6 4SD,Bolton,United Kingdom
BULLEN CONSTRUCTION LIMITED,13983108,1 Paddock Lane,,BB1 2EF,Blackburn,United Kingdom
BULLEN CONSULTANCY LIMITED,12340721,The Willows 27 Bell Lane,Syresham,NN13 5HP,Brackley,United Kingdom
BULLEN CONSULTANTS LIMITED,03340659,Aldgate Tower,2 Leman Street,E1 8FA,London,United Kingdom
BULLEN DEVELOPMENTS LIMITED,09903280,9-11 Drayton High Road,Drayton,NR8 6AH,Norwich,United Kingdom
BULLEN DIMOND PROPERTIES LIMITED,13737458,Rutland House Minerva Business Park,Lynch Wood,PE2 6PZ,Peterborough,United Kingdom
BULLEN ESTATES COMMERCIAL LTD,12432501,56 St. Williams Way,,NR7 0AP,Norwich,United Kingdom
BULLEN ESTATES MANAGEMENT LTD,14971223,12 Penrice Road,Little Plumstead,NR13 5FP,Norwich,United Kingdom
BULLEN ESTATES NORFOLK LTD,15272539,2 Daisy Way,Acle,NR13 3DN,Norwich,United Kingdom
BULLEN ESTATES UK LIMITED,10758129,56 St. Williams Way,,NR7 0AP,Norwich,United Kingdom
BULLEN FABRICATION LTD,07590951,07590951 - COMPANIES HOUSE DEFAULT ADDRESS,Festival Drive,CF14 8LH,Cardiff,United Kingdom
BULLEN GROUP LIMITED,01005917,9-11 Drayton High Road Drayton,Drayton,NR8 6AH,Norwich,United Kingdom
BULLEN HALL FARM LTD,11809344,2 Michaels Court Hanney Road,Southmoor,OX13 5HR,Abingdon,United Kingdom
BULLEN HALL LIMITED,09595925,Honeycombe House,167-169 High Road,IG10 4LF,Loughton,United Kingdom
BULLEN HOMES LIMITED,03711778,9-11 Drayton High Road,Drayton,NR8 6AH,Norwich,United Kingdom
BULLEN INTERNATIONAL HEALTHCARE LIMITED,03137463,"C/O Dsg, Chartered Accountants Castle Chambers",43 Castle Street,L2 9TL,Liverpool,United Kingdom
BULLEN INVESTMENTS LIMITED,01845966,"The Lowlands, Costessey Lane",Drayton,NR8 6HA,Norwich,United Kingdom
BULLEN INVESTMENTS LIMITED,OE028123,57/63 Line Wall Road,,GX11 1AA,Gibraltar,Gibraltar
BULLEN LEWIS & PARTNERS LIMITED,06778481,"Units 17-20 Glacier Buildings, Harrington Road",Brunswick Business Park,L3 4BH,Liverpool,United Kingdom
BULLEN LIMITED,03376955,9-11 High Road,Drayton,NR8 6AH,Norwich,United Kingdom
BULLEN PARTNERSHIP,LP004843,185 London Road,Croydon,CR9 1PT,,United Kingdom
BULLEN PLANT HIRE LIMITED,01326345,45 Appley Lane North,Appley Bridge,WN6 9AD,Wigan,United Kingdom
BULLEN POWER LIMITED,14828753,Lowlands Costessey Lane,Drayton,NR8 6HA,Norwich,United Kingdom
BULLEN PROPERTIES LIMITED,05906065,The Lowlands,Drayton,NR8 6HA,Norwich,United Kingdom
BULLEN PROPERTY INVESTMENTS LIMITED,11453212,Unit 14 The Boathouse Business Centre,1 Harbour Square,PE13 3BH,Wisbech,United Kingdom
BULLEN RESIDENTIAL PROPERTIES LIMITED,03819797,The Lowlands Costessey Lane,Drayton,NR8 6HA,Norwich,United Kingdom
BULLEN ROOFING LTD,13762399,13-17 High Beech Road,,IG10 4BN,Loughton,United Kingdom
BULLEN TRADING CO LTD,07072244,"Unit A, Viaduct Works, Crumlin Road",Crumlin,NP11 3PL,Newport,United Kingdom
BULLEN UND BAEREN STIFTUNG LTD,13515047,Suite A Bank House,81 Judes Road,TW20 0DF,Egham,United Kingdom
BULLEN VILLAGE MANAGEMENT COMPANY LIMITED,06259178,30 Chatfield Lodge,,PO30 1XR,Newport,United Kingdom
BULLEN-BROWN LIMITED,10458091,127a Cavendish Road,,CB1 3AE,Cambridge,United Kingdom
BULLENFIELD LTD,11008413,Unit 8 New Luckhurst Farm Business Centre Bethersden Road,Smarden,TN27 8QT,Ashford,United Kingdom
BULLENS AUDIT SERVICES LTD,09104884,39 Chester Road,,PR9 7HD,Southport,United Kingdom
BULLENS PROPERTY SERVICES LTD,15583205,76 Ongar Place,,KT15 1JG,Addlestone,United Kingdom
BULLENS RENTALS LIMITED,13897996,170 Honey Lane,,EN9 3BE,Waltham Abbey,United Kingdom
BULLENS ROAD LTD,13082666,20-22 Wenlock Road,,N1 7GU,London,United Kingdom
BULLER & BULLER LTD,13549465,Apartment 1 6-7 Victoria Parade,Bayview Apartments,TQ1 2BB,Torquay,United Kingdom
BULLER AUTO SERVICES LIMITED,11865996,Stafford House,Blackbrook Park Avenue,TA1 2PX,Taunton,United Kingdom
BULLER CLOSE OWNERS RTM COMPANY LIMITED,12154796,Flat 17 Leabrook Buller Close,Buller Close,TN6 2YE,Crowborough,United Kingdom
CONSHURST PROPERTIES LIMITED,11846953,30 Harbord Street,Alie Street,SW6 6PJ,London,United Kingdom
GEMINI CLEANING LTD,14063003,38 Dartmouth Avenue,Liverpool Road,GU21 5PJ,Woking,United Kingdom
KATIE CLARK BOUTIQUE LIMITED,13776613,12 High Road,Balby,DN4 0PL,Doncaster,United Kingdom
LOWLANDS GROUP LIMITED,15682855,The Lowlands,Drayton,NR8 6HA,Norwich,United Kingdom
NORFOLK AND NORWICH PROPERTY COMPANY LIMITED,15682841,The Lowlands,Drayton,NR8 6HA,Norwich,United Kingdom
S & Z ENTERPRISE LIMITED,11157631,10 College Park Eastfield,,PE1 4AW,Peterborough,United Kingdom
SIDHU G & CO LTD,13079551,8 Church View,,RG27 9HP,Hook,United Kingdom
STRATEGIC MARKETING PARTNERS LTD,13954305,71-75 Shelton Street,Covent Garden,WC2H 9JQ,London,United Kingdom
WARREN DEVENEYS LTD,15318950,6 Queensway,Kearsley,BL4 8LP,Bolton,United Kingdom
WHITTWHITEMAG LTD,15346457,11 Grasmere Road,,M33 3QU,Sale,United Kingdom
